taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated	paired_fin
Ituglanis bambui	1	?	1	?	1	0	3
Rhinosardinia bahiensis	1	?	1	?	1	0	3
Alepes kleinii	1	?	1	?	1	0	3
Olyra longicaudata	1	1	2	2	0	0	3
Bihunichthys monopteroides	1	0	1	0	0	0	2
Callechelys springeri	?	0	?	0	0	1	2
Suezichthys caudavittatus	1	?	1	?	1	0	3
Stemonosudis bullisi	1	1	2	2	1	1	3
Sternarchorhynchus yepezi	1	0	1	0	1	1	2
Procatopus aberrans	1	?	2	?	1	0	3
Pareiorhaphis steindachneri	1	?	2	?	1	0	3
Lumpenopsis triocellata	1	?	1	?	1	0	3
Andamia amphibius	1	?	1	?	1	0	3
Petrocephalus balayi	?	1	?	1	0	1	3
Rhabdolichops electrogrammus	1	0	2	0	0	0	2
Phenacobius uranops	1	1	2	2	0	0	3
Antennatus strigatus	1	1	1	1	1	1	3
Bascanichthys congoensis	?	0	?	0	0	1	2
Corydoras parallelus	1	?	2	?	1	0	3
Artediellus neyelovi	1	?	1	?	1	0	3
Apionichthys seripierriae	?	1	?	1	0	1	3
Histiobranchus australis	?	0	?	0	0	1	2
Xiphophorus milleri	1	?	2	?	1	0	3
Gasterosteus aculeatus	1	0&1	1	0&1	0	0	2
Bothrocara elongatum	1	?	1	?	1	0	3
Orestias tomcooni	1	?	1	?	1	0	3
Trinectes fonsecensis	?	1	?	1	0	1	3
Simpsonichthys gibberatus	1	?	1	?	1	0	3
Akysis heterurus	1	?	2	?	1	0	3
Syngnathus schmidti	?	0	?	0	0	1	2
Poecilia wandae	1	?	2	?	1	0	3
Trachinocephalus myops	1	1	2	2	0	0	3
Aphyosemion ahli	1	?	2	?	1	0	3
Hippichthys parvicarinatus	?	0	?	0	0	1	2
Pseudocheilinus octotaenia	1	1	2	2	1	1	3
Peckoltia vittata	1	?	2	?	1	0	3
Ictalurus dugesii	1	1	2	2	0	0	3
Citharinus gibbosus	1	1	2	1	0	0	3
Ituglanis macunaima	1	?	1	?	1	0	3
Loricaria lata	1	?	2	?	1	0	3
Carapus bermudensis	1	0	1	0	1	1	2
Pachycara pammelas	1	?	1	?	1	0	3
Clarias insolitus	1	?	1	?	1	0	3
Petrocephalus squalostoma	?	1	?	1	0	1	3
Bothrocara pusillum	1	?	1	?	1	0	3
Sardinella sindensis	1	?	1	?	1	0	3
Austrolebias jaegari	1	?	1	?	1	0	3
Cosmocampus profundus	?	0	?	0	0	1	2
Cyprinodon albivelis	1	?	1	?	1	0	3
Pseudobagarius macronemus	1	1	2	2	0	0	3
Atule mate	1	?	1	?	1	0	3
Hisonotus paulinus	1	?	2	?	1	0	3
Zaireichthys brevis	1	1	2	2	1	0	3
Eleginops maclovinus	1	?	2	?	1	0	3
Ctenopoma acutirostre	1	1	1	1	1	1	3
Channichthys panticapaei	1	?	2	?	1	0	3
Chaetostoma machiquense	1	?	2	?	1	0	3
Epiplatys ansorgii	1	?	2	?	1	0	3
Himantolophus nigricornis	1	0	1	0	1	1	2
Chiloglanis deckenii	1	1	2	2	1	0	3
Ophichthus rex	?	0	?	0	0	0	2
Rhinichthys atratulus	1	1	2	2	0	0	3
Schuettea woodwardi	1	1	1	1	1	1	3
Pimelodella linami	1	?	2	?	1	0	3
Xyliphius kryptos	1	?	2	?	0	0	3
Botia dayi	1	1	2	2	0	0	3
Careproctus pseudoprofundicola	1	?	1	?	1	0	3
Paradoxoglanis cryptus	1	?	2	?	1	0	3
Omegophora armilla	1	1	1	2	1	1	3
Dekeyseria brachyura	1	?	2	?	1	0	3
Galeichthys feliceps	1	1	2	2	0	0	3
Anableps dowei	1	?	2	?	1	0	3
Chrysichthys bocagii	1	1	2	2	0	0	3
Gymnothorax panamensis	0	0	0	0	1	1	0
Pseudochromis colei	1	1	1	1	1	1	3
Tachysurus spilotus	1	?	2	?	1	0	3
Pseudancistrus nigrescens	1	?	2	?	1	0	3
Gyrinomimus myersi	1	0	2	0	1	1	2
Pseudochromis cyanotaenia	1	1	1	1	1	1	3
Grundulus bogotensis	1	1	2	1	0	0	3
Symphurus lubbocki	0	0	0	0	1	1	0
Gymnothorax kontodontos	0	0	0	0	1	1	0
Agamyxis albomaculatus	1	1	2	2	0	0	3
Nudiantennarius subteres	1	1	1	1	1	1	3
Lasiancistrus saetiger	1	?	2	?	1	0	3
