taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Cirrhilabrus_joanallenae	1	1	2	2	1	1
Cirrhilabrus_katoi	1	1	2	2	1	1
Cirrhilabrus_morrisoni	1	1	2	2	1	1
Cirrhilabrus_blatteus	1	1	2	2	1	1
Cirrhilabrus_aurantidorsalis	1	1	2	2	1	1
Cirrhilabrus_earlei	1	1	2	2	1	1
Cirrhilabrus_adornatus	1	1	2	2	1	1
Cirrhilabrus_rubripinnis	1	1	2	2	1	1
Cirrhilabrus_claire	1	1	2	2	1	1
Cirrhilabrus_katherinae	1	1	2	2	1	1
Cirrhilabrus_ryukyuensis	1	1	2	2	1	1
Cirrhilabrus_filamentosus	1	1	2	2	1	1
Cirrhilabrus_johnsoni	1	1	2	2	1	1
Cirrhilabrus_sanguineus	1	1	2	2	1	1
Cirrhilabrus_lunatus	1	1	2	2	1	1
Cirrhilabrus_walindi	1	1	2	2	1	1
Cirrhilabrus_cenderawasih	1	1	2	2	1	1
Cirrhilabrus_brunneus	1	1	2	2	1	1
Cirrhilabrus_jordani	1	1	2	2	1	1
Cirrhilabrus_naokoae	1	1	2	2	1	1
Cirrhilabrus_lubbocki	1	1	2	2	1	1
Pseudoplesiops_wassi	1	1	1	1	1	1
Pseudoplesiops_annae	1	1	1	1	1	1
Pseudoplesiops_typus	1	1	1	1	1	1
Pseudoplesiops_immaculatus	1	1	1	1	1	1
Pseudoplesiops_howensis	1	1	1	1	1	1
Pseudoplesiops_rosae	1	1	1	1	1	1
Pseudoplesiops_occidentalis	1	1	1	1	1	1
Pseudoplesiops_collare	1	1	1	1	1	1
Pseudoplesiops_revellei	1	1	1	1	1	1
Cypho_zaps	1	1	1	1	1	1
Cypho_purpurascens	1	1	1	1	1	1
Ariosoma_marginatum	1	0	1	0	1	1
Ariosoma_multivertebratum	1	0	1	0	1	1
Ariosoma_selenops	1	0	1	0	1	1
Ariosoma_anagoides	1	0	1	0	1	1
Ariosoma_opistophthalmum	1	0	1	0	1	1
