Iteration	Posterior	Likelihood	Prior	r14	r23	r32	r33	r38	r39	r42	r45	r48	r5	r51	r53	r56	r60	r62	r63
6900	-136.637	-170.027	33.3898	0.05135279	0.2186934	0.07793187	0.0009731997	0.009895809	0.009358881	0.007744952	0.04720528	0.1942226	0.04577737	0.0005840381	0.00869172	0.03489102	0.0008873966	0.0002820845	0.01860294
7000	-138.08	-172.087	34.007	0.02558714	0.01186303	0.1081094	0.001824401	0.007387614	0.01402386	0.004286563	0.3933759	0.004358402	0.04068544	0.002208139	0.007441054	0.05407148	0.0005223803	0.001578483	0.01891077
7100	-141.581	-173.09	31.5089	0.06753358	0.1010751	0.06976415	0.003491939	0.01873804	0.002444541	0.05142729	0.113612	0.2347046	0.08818592	0.001697657	0.003084944	0.03643991	0.0002508901	0.004613814	0.02407741
7200	-137.029	-165.502	28.4735	0.0444881	0.0916358	0.2418136	0.001018258	0.002203151	0.0123056	0.00860904	0.1103509	0.2611239	0.1326853	0.000615009	1.597943e-05	0.04138215	4.421153e-05	0.00841179	0.01621032
7300	-140.675	-172.522	31.8475	0.07069389	0.07130664	0.01678165	0.01252695	0.001813111	0.01047815	0.01936308	0.1107172	0.1274574	0.2845273	0.005874758	0.006304217	0.04580453	0.0002684894	0.002820291	0.0174745
7400	-145.488	-172.14	26.6516	0.1551639	0.04813173	0.1997511	0.00270748	0.01444566	0.003818821	0.264685	0.08311179	0.1530899	0.07184059	0.0007284182	0.002016397	0.04401575	0.000705401	0.002437118	0.01735763
7500	-135.337	-170.397	35.0608	0.06889899	0.06153811	0.1836034	0.001224102	0.006708786	0.005248915	0.001547858	0.03943907	0.08893561	0.136169	0.001273838	0.005385046	0.02971343	0.00253794	0.0007151123	0.01060568
7600	-138.767	-167.081	28.3137	0.1004074	0.3237933	0.1811281	0.001962092	0.01043856	0.005358607	0.01782254	0.124731	0.04307757	0.1248671	0.00145878	0.001209716	0.0328137	1.287251e-05	0.001820497	0.009999614
7700	-142.769	-168.912	26.1433	0.07964949	0.1106383	0.07705697	0.004144867	0.001651181	0.0080779	0.1154225	0.29601	0.1445724	0.178019	0.003058844	0.002284344	0.04402977	0.001337611	0.00315652	0.02031047
7800	-143.786	-172.213	28.4269	0.05193646	0.1168579	0.01449948	0.01120346	0.006507684	0.01205913	0.03171529	0.3025453	0.09802171	0.195212	0.001749377	0.007912628	0.08575495	1.241036e-05	0.001984888	0.03726988
7900	-142.432	-169.647	27.2159	0.006164081	0.1487899	0.2991483	0.0008062881	0.006332132	0.01481972	0.02630657	0.2711112	0.1743741	0.02893584	0.002730176	0.003957851	0.03253351	0.004877814	0.002159317	0.01274574
8000	-137.58	-165.458	27.8776	0.04564392	0.1409105	0.2520347	0.004190105	0.001177957	0.007517358	0.007448591	0.2530142	0.08690963	0.1446121	0.001553307	0.001271702	0.03694193	0.0003581751	0.003912902	0.01520834
8100	-139.974	-174.092	34.1176	0.01876105	0.02976064	0.06353565	0.004646651	0.004389768	0.0126683	0.09376451	0.1417968	0.2170405	0.0392298	0.000735991	0.003883267	0.03774831	4.895091e-05	0.006483743	0.01621205
8200	-141.239	-173.23	31.9917	0.08023762	0.08427492	0.1226398	0.00166743	0.01831858	0.003002967	0.02260207	0.03292804	0.2344776	0.1059194	0.001440331	0.00536274	0.05486187	0.003703634	0.0006338364	0.02493015
8300	-139.302	-169.015	29.7127	0.1630988	0.05891527	0.02434787	0.009805307	0.002692127	0.008172953	0.01170638	0.1906296	0.167971	0.193307	0.0003938002	0.00377392	0.05509582	0.0006351289	0.003262306	0.01714386
8400	-136.069	-171.706	35.6373	0.08312117	0.04738048	0.02348856	0.001680229	0.02074638	0.007892471	0.01306972	0.1556308	0.03609262	0.1664963	0.000687857	0.001365272	0.04312835	0.0007538164	0.002104273	0.01108013
8500	-137.99	-170.416	32.4259	0.07265348	0.1572316	0.09540565	0.005080915	0.005906129	0.007003051	0.04041726	0.04696326	0.1974644	0.0602497	0.001845892	0.003485659	0.05257342	4.550966e-05	0.004439851	0.02452458
8600	-137.106	-166.587	29.481	0.2508717	0.06288983	0.06414113	0.0003648572	0.01809106	0.00505923	0.002129563	0.1330101	0.1306779	0.2044923	0.0001959799	0.0002797243	0.03132714	0.0003726424	0.005447384	0.01318726
8700	-137.328	-167.208	29.8801	0.0536864	0.2023743	0.1781573	0.0003344355	0.004967882	0.00678072	0.01612444	0.09079848	0.1926555	0.1043344	0.002526618	0.002473732	0.02866038	0.001056275	0.006353674	0.01129872
8800	-136.951	-169.861	32.9105	0.02331528	0.3411976	0.1759907	0.002562398	0.0001963796	0.01375899	0.04099587	0.002134065	0.02782309	0.01105036	0.004835039	0.009588772	0.07045523	2.210737e-07	2.44659e-05	0.02713131
8900	-134.703	-167.99	33.2866	0.03085773	0.1538266	0.1119954	0.005073515	0.007851165	0.009200686	0.006121514	0.2473705	0.01457666	0.09217968	0.001320902	0.000408663	0.03802176	0.0008269319	0.002601012	0.01002232
9000	-142.527	-173.01	30.4826	0.0044449	0.2826867	0.03818171	0.01060995	0.00246117	0.008643856	0.008547436	0.04671887	0.01543537	0.3087955	0.006048944	0.007038124	0.09012067	0.0005977206	0.0008269881	0.04129705
