Iteration	Posterior	Likelihood	Prior	r14	r23	r32	r33	r38	r39	r42	r45	r48	r5	r51	r53	r56	r60	r62	r63
7400	-31.7118	-63.1914	31.4797	0.1719143	0.05079597	0.07208616	0.05030935	0.02416432	0.02813117	0.03442525	0.06390011	0.01855752	0.0007038046	0.06391152	0.04913413	0.1924873	7.578094e-05	0.001760649	0.0002443839
7500	-23.6593	-62.2695	38.6102	0.04700186	0.123875	0.03853248	0.01222406	0.04449575	0.01562814	0.01097219	0.05878804	0.06103653	0.0002217139	0.02168074	0.01447711	0.01412763	0.0001463936	0.002199614	0.0006696907
7600	-26.7881	-63.7992	37.0111	0.08362547	0.04266839	0.007384007	0.03810357	0.03219555	0.02330717	0.01871987	0.08280174	0.03571378	0.00102087	0.02162938	0.06110333	0.09322476	2.752676e-05	0.002454065	0.002052955
7700	-23.6185	-63.6919	40.0734	0.01822306	0.0307116	0.06523504	0.01324897	0.008094903	0.02274874	0.01253461	0.08551064	0.02222338	3.779837e-05	0.02385913	0.07544436	0.01241032	0.0006700567	0.001034876	0.0009275668
7800	-26.5244	-61.6709	35.1465	0.06072526	0.01342997	0.002709504	0.01513903	0.1616945	0.01365181	0.01641342	0.1390174	0.03759536	0.000428883	0.006793147	0.07429752	0.09507404	6.672425e-05	0.001436547	0.0007900976
7900	-27.4133	-63.3893	35.976	0.04901799	0.01535619	0.07178145	0.01665086	0.008882332	0.06944194	0.02775289	0.0720669	0.03010668	0.001253301	0.01035159	0.1831997	0.03886464	0.0007534364	0.002072445	0.000234755
8000	-31.186	-65.8827	34.6967	0.0098395	0.04719811	0.09674399	0.015	0.03981809	0.006811679	0.04619687	0.1597614	0.04882998	0.001410194	0.002360605	0.0283982	0.1549569	0.0006678945	0.003257764	0.000501414
8100	-27.9723	-66.3475	38.3752	0.1346731	0.005552989	0.01344899	0.03478265	0.008292892	0.03965142	0.02777619	0.03442927	0.06948314	0.002715705	0.006822446	0.02043316	0.07506656	5.339425e-05	0.00240192	0.002241198
8200	-28.7129	-63.7317	35.0188	0.0589186	0.137482	0.01840801	0.002454103	0.05486947	0.004114895	0.01955447	0.05870553	0.03090731	0.0009573378	0.05161802	0.03182714	0.1735361	1.107373e-05	0.0008953033	0.001387766
8300	-25.9095	-61.1372	35.2277	0.1524852	0.03284372	0.07098557	0.02768552	0.001411689	0.005981403	0.007571258	0.05082207	0.03527414	0.001838288	0.03354873	0.1171256	0.09489014	0.0003855485	0.001820964	0.0005290853
