Iteration	Posterior	Likelihood	Prior	r14	r23	r32	r33	r38	r39	r42	r45	r48	r5	r51	r53	r56	r60	r62	r63
8700	-235.595	-264.377	28.7821	0.313984	0.09886013	0.072749	0.001549201	0.01621229	0.008325172	1.1987e-05	0.007413693	0.003943256	0.130619	0.00478733	0.002427765	0.1543088	0.005552142	0.00360648	0.1331329
8800	-236.085	-264.519	28.4339	0.09705135	0.188575	0.1063969	0.008091144	0.03456311	0.001603474	0.002322915	0.01013286	0.00216458	0.1700891	0.006371452	0.01051613	0.1863483	0.001570798	0.009590724	0.1395035
8900	-239.795	-268.186	28.3908	0.06454294	0.2003912	0.03143977	0.01097155	0.04002822	0.003116885	0.002719385	0.01441943	0.0002589189	0.1754151	0.0008433425	0.01212814	0.2108914	0.001925684	0.005045527	0.2029065
9000	-237.298	-263.569	26.2705	0.1047015	0.344627	0.1752463	0.005466104	0.0308514	0.001086419	0.004038401	0.01015602	0.003019191	0.1877911	0.0008869644	0.01331465	0.1194918	0.0007030901	0.00465286	0.07702667
9100	-240.337	-262.183	21.8461	0.4270567	0.1466073	0.2867537	0.0003002313	0.03504975	0.003344036	0.001250636	0.01563968	0.003185665	0.1479864	0.008764557	0.002184572	0.1189885	0.01187963	0.001264027	0.09402311
9200	-242.142	-268.451	26.3085	0.2862571	0.2389296	0.02586113	0.003118633	0.02796166	0.005648778	0.00332546	0.01530939	0.002639905	0.2139196	0.008805594	0.001697097	0.1487953	0.007203571	0.007042288	0.08464327
9300	-243.35	-264.658	21.3079	0.2202647	0.3049031	0.403107	0.002974612	0.02252376	0.0127558	0.0003069252	0.009098942	0.001720461	0.1145839	0.02262946	0.001810923	0.1466301	0.005560489	0.001403692	0.0609153
9400	-239.054	-264.758	25.7041	0.04063452	0.295684	0.01664445	0.000595237	0.02816545	0.008610709	0.0001830125	0.008008412	0.002681862	0.1478955	0.04216624	0.001872166	0.3290811	0.002848695	0.001539605	0.1847674
9500	-244.481	-271.216	26.735	0.1555206	0.1088566	0.05383382	0.001491322	0.03367187	0.008385498	0.002564144	0.01107854	0.002023253	0.1302477	0.02187814	0.01169746	0.3066708	0.003881421	0.009129404	0.1989037
9600	-246.379	-266.613	20.2345	0.3170875	0.433452	0.1060706	0.0001031141	0.02524758	0.01014677	0.005353372	0.01398468	0.0005665473	0.3287224	0.02377294	0.002931306	0.05285807	0.0139005	0.007624765	0.0430369
9700	-242.729	-266.9	24.1709	0.1433801	0.1857886	0.1337768	0.007535341	0.0285516	0.008354579	0.0008595937	0.007098748	0.003371679	0.09148664	0.01204432	0.003030797	0.2791323	0.00123139	0.0006554722	0.2817408
9800	-234.715	-265.256	30.5414	0.1158828	0.1576986	0.1048817	0.007276236	0.02899983	0.003851398	0.004344484	0.01002239	0.00242819	0.1644199	0.004355825	0.008040572	0.1297404	0.001526991	0.008992489	0.1170534
9900	-240.048	-266.473	26.4244	0.3264215	0.06970447	0.11229	0.003163474	0.02901653	0.004651273	0.005902018	0.01021299	0.006216686	0.1962266	0.004187377	0.006596816	0.1801174	0.00489873	0.002677731	0.1130822
10000	-241.177	-270.114	28.9376	0.06364261	0.1859947	0.2128522	0.004243029	0.0296393	0.004109322	0.002699531	0.01227888	0.001669376	0.06074745	0.01608567	0.005446041	0.1903059	0.02008753	0.007844616	0.1320596
